Rank,School,Conf,Prev,Quad 1 W,Quad 1 L,Quad 2 W,Quad 2 L,Quad 3 W,Quad 3 L,Quad 4 W,Quad 4 L,W,L,Road W,Road L,Home W,Home L,Neutral W,Neutral L,Non-Div I W,Non-Div I L
54,Belmont,MVC,72,0,0,3,0,4,3,6,0,13,3,6,1,5,2,2,0,1,0
55,VCU,Atlantic 10,51,0,4,2,1,2,0,7,0,11,5,1,1,8,2,2,2,0,0
56,Washington,Big Ten,63,1,3,1,3,2,0,5,0,9,6,2,4,6,1,1,1,0,0
57,Santa Clara,WCC,62,0,2,3,1,5,0,4,1,12,4,3,1,7,0,2,3,1,0
58,Virginia Tech,ACC,57,1,2,3,2,2,0,6,0,12,4,1,1,9,1,2,2,0,0
59,San Diego St.,Mountain West,60,0,3,2,0,3,1,4,0,9,4,2,0,6,1,1,3,1,0
60,Notre Dame,ACC,67,2,4,1,0,2,0,5,1,10,5,2,2,7,1,1,2,0,0
61,Oklahoma,SEC,48,1,2,1,2,2,0,7,0,11,4,1,2,8,0,2,2,0,0
62,Murray St.,MVC,64,0,2,2,0,4,1,8,0,14,3,3,1,8,0,3,2,0,0
63,Miami (OH),MAC,65,0,0,3,0,0,0,10,0,13,0,6,0,6,0,1,0,3,0
64,Boise St.,Mountain West,44,2,3,1,1,3,1,2,0,8,5,1,2,6,1,1,2,1,1
65,Kansas St.,Big 12,66,1,4,3,1,0,1,5,0,9,6,1,2,7,3,1,1,0,0
66,Oklahoma St.,Big 12,68,0,1,5,1,1,0,7,0,13,2,0,1,11,0,2,1,0,0
67,Missouri,SEC,82,2,3,0,0,1,0,9,0,12,3,2,2,10,0,0,1,0,0
68,California,ACC,59,1,3,1,0,4,0,6,0,12,3,0,2,11,1,1,0,1,0
69,Stanford,ACC,77,3,0,2,1,3,1,5,1,13,3,2,0,8,3,3,0,0,0
70,Wake Forest,ACC,61,0,4,2,2,1,0,7,0,10,6,0,1,8,3,2,2,0,0
71,Colorado,Big 12,69,0,0,2,2,6,1,4,0,12,3,1,1,9,1,2,1,0,0
72,George Washington,Atlantic 10,70,0,2,2,2,2,0,6,1,10,5,2,1,6,1,2,3,1,0
73,Illinois St.,MVC,58,0,2,1,0,4,2,6,0,11,4,3,2,6,0,2,2,1,0
74,Texas,SEC,73,1,4,0,1,0,1,7,0,8,6,0,2,7,2,1,2,1,0
75,South Fla.,American,76,1,2,0,3,3,1,4,0,8,6,2,2,5,1,1,3,1,0
76,George Mason,Atlantic 10,78,0,1,1,0,4,0,9,0,14,1,2,1,10,0,2,0,1,0
77,Northwestern,Big Ten,79,0,3,2,2,0,1,6,0,8,6,1,1,6,2,1,3,0,0
78,Utah Valley,WAC,74,0,2,1,0,6,2,2,0,9,4,2,4,4,0,3,0,3,0
79,Nevada,Mountain West,75,0,1,2,2,6,0,3,1,11,4,3,1,7,2,1,1,0,0
80,UC San Diego,Big West,80,0,0,0,1,8,1,2,1,10,3,3,2,3,1,4,0,2,0
81,High Point,Big South,92,0,0,0,1,1,1,11,1,12,3,1,1,8,1,3,1,3,0
82,Minnesota,Big Ten,83,2,2,1,2,0,1,7,0,10,5,1,2,9,0,0,3,0,0
83,Mississippi St.,SEC,97,1,3,1,1,3,1,5,0,10,5,2,0,7,1,1,4,0,0
84,Syracuse,ACC,84,1,3,0,1,1,1,8,0,10,5,1,0,8,2,1,3,0,0
85,UNI,MVC,71,0,2,1,1,3,1,7,0,11,4,3,1,7,2,1,1,1,0
86,Wyoming,Mountain West,86,0,2,0,1,1,1,9,0,10,4,1,3,8,1,1,0,1,0
87,Providence,Big East,85,1,4,0,3,1,0,6,0,8,7,1,2,6,2,1,3,0,0
88,Dayton,Atlantic 10,87,0,2,1,1,4,1,7,0,12,4,2,1,9,1,1,2,0,0
89,West Virginia,Big 12,89,0,3,0,1,2,1,8,0,10,5,0,1,10,0,0,4,0,0
90,South Carolina,SEC,88,1,3,0,2,0,0,9,0,10,5,1,1,9,2,0,2,0,0
