Rank,School,Conf,Prev,Quad 1 W,Quad 1 L,Quad 2 W,Quad 2 L,Quad 3 W,Quad 3 L,Quad 4 W,Quad 4 L,W,L,Road W,Road L,Home W,Home L,Neutral W,Neutral L,Non-Div I W,Non-Div I L
264,West Ga.,ASUN,260,0,3,1,0,0,1,5,2,6,6,2,4,4,2,0,0,2,0
265,SIUE,OVC,262,0,1,0,0,1,0,6,5,7,6,4,3,2,3,1,0,3,0
266,Princeton,Ivy League,270,0,2,0,0,0,6,4,3,4,11,0,6,4,1,0,4,1,0
267,Brown,Ivy League,266,0,0,0,2,0,1,4,5,4,8,2,4,2,4,0,0,2,0
268,Boston U.,Patriot,290,0,0,0,3,1,3,4,4,5,10,2,7,2,3,1,0,1,0
269,Prairie View,SWAC,267,0,4,0,1,0,3,2,1,2,9,1,8,0,0,1,1,4,0
270,Western Mich.,MAC,273,0,3,0,0,0,4,5,1,5,8,1,7,4,1,0,0,1,1
271,Eastern Wash.,Big Sky,271,0,3,0,1,0,8,1,0,1,12,0,10,1,1,0,1,1,0
272,Bellarmine,ASUN,269,0,5,0,0,0,1,3,3,3,9,1,7,1,2,1,0,2,0
273,N.C. A&T,CAA,272,0,0,0,2,0,2,5,3,5,7,3,4,2,2,0,1,2,0
274,South Dakota,Summit League,276,0,3,0,2,0,3,5,1,5,9,0,7,4,2,1,0,3,0
275,Presbyterian,Big South,254,0,2,0,1,1,1,4,5,5,9,1,8,3,1,1,0,3,0
276,Old Dominion,Sun Belt,275,0,3,0,4,0,1,3,4,3,12,0,9,3,3,0,0,1,0
277,Texas St.,Sun Belt,279,0,0,0,2,0,3,7,2,7,7,1,4,6,1,0,2,2,0
278,Evansville,MVC,274,0,3,0,4,0,5,2,1,2,13,0,5,1,6,1,2,2,0
279,Ark.-Pine Bluff,SWAC,281,0,6,0,2,1,2,2,0,3,10,1,10,2,0,0,0,2,0
280,Eastern Ky.,ASUN,278,0,2,0,2,1,5,1,2,2,11,2,7,0,4,0,0,2,0
281,Delaware,CUSA,282,1,1,0,0,0,1,4,6,5,8,1,3,3,4,1,1,0,1
282,Sacramento St.,Big Sky,277,0,3,0,2,0,4,1,1,1,10,0,9,1,1,0,0,3,0
283,Tennessee Tech,OVC,283,0,2,0,0,0,3,3,4,3,9,2,6,1,3,0,0,3,0
284,Omaha,Summit League,280,0,1,0,3,2,4,1,2,3,10,2,6,1,2,0,2,4,0
285,Southeastern La.,Southland,284,0,1,0,3,1,3,3,3,4,10,1,7,1,3,2,0,1,0
286,Oral Roberts,Summit League,287,0,3,0,2,2,5,0,2,2,12,0,8,1,3,1,1,3,0
287,Bethune-Cookman,SWAC,288,0,7,0,1,1,0,2,2,3,10,1,8,2,0,0,2,1,0
288,Georgia St.,Sun Belt,291,0,0,0,4,1,5,2,2,3,11,2,8,1,1,0,2,2,0
289,Northern Ariz.,Big Sky,285,0,1,0,1,0,6,3,1,3,9,0,7,3,1,0,1,3,0
290,Alabama A&M,SWAC,289,0,2,0,0,0,2,5,3,5,7,1,5,4,1,0,1,3,0
291,Morehead St.,OVC,286,0,4,0,1,0,1,4,2,4,8,2,8,1,0,1,0,3,0
292,Drexel,CAA,297,0,0,0,2,0,4,5,4,5,10,1,5,4,3,0,2,1,0
293,Alabama St.,SWAC,294,0,3,1,4,0,1,2,3,3,11,2,10,0,0,1,1,1,0
294,CSU Bakersfield,Big West,293,0,1,0,2,3,5,2,1,5,9,2,6,3,3,0,0,2,0
295,Norfolk St.,MEAC,298,0,2,0,1,0,4,3,4,3,11,1,8,1,1,1,2,3,0
296,East Texas A&M,Southland,299,0,4,0,1,0,3,4,2,4,10,2,8,1,2,1,0,2,0
297,UNC Greensboro,SoCon,296,0,2,0,1,0,3,4,4,4,10,1,4,2,3,1,3,2,0
298,UTEP,CUSA,295,0,1,0,3,1,4,0,2,1,10,0,6,1,2,0,2,3,0
299,North Dakota,Summit League,300,0,3,0,1,0,1,5,5,5,10,2,5,3,4,0,1,3,0
300,Longwood,Big South,292,0,1,0,3,0,1,6,4,6,9,2,6,3,2,1,1,3,0
301,Manhattan,MAAC,301,0,2,0,1,2,3,4,3,6,9,1,7,3,2,2,0,1,0
302,Houston Christian,Southland,302,0,1,0,2,1,4,2,3,3,10,2,6,1,3,0,1,2,0
303,Le Moyne,NEC,303,0,1,0,3,0,2,5,3,5,9,3,7,1,1,1,1,1,0
304,East Carolina,American,307,0,2,0,2,1,2,3,4,4,10,0,4,4,4,0,2,1,0
305,Sacred Heart,MAAC,304,0,1,0,1,0,4,4,5,4,11,2,9,2,2,0,0,1,0
306,Southern U.,SWAC,308,0,5,0,1,0,1,2,3,2,10,1,9,1,1,0,0,3,0
307,Chattanooga,SoCon,305,0,2,0,0,0,3,3,5,3,10,2,6,1,3,0,1,3,0
308,Eastern Ill.,OVC,310,0,4,0,0,0,4,2,2,2,10,0,8,2,2,0,0,2,0
309,Jacksonville,ASUN,312,0,2,0,3,0,4,3,1,3,10,1,9,1,0,1,1,2,0
310,UMass Lowell,America East,311,0,3,0,2,0,2,3,3,3,10,1,9,2,1,0,0,3,0
311,North Ala.,ASUN,313,0,1,1,1,1,2,1,4,3,8,2,5,1,3,0,0,2,0
312,Loyola Chicago,Atlantic 10,309,0,0,1,2,1,5,3,4,5,11,1,1,3,6,1,4,0,0
313,Mercyhurst,NEC,315,0,1,0,5,0,0,4,3,4,9,1,8,3,1,0,0,2,0
314,Northwestern St.,Southland,316,0,3,0,2,0,3,2,3,2,11,1,8,1,3,0,0,2,0
315,Army West Point,Patriot,306,0,1,0,2,0,2,5,4,5,9,3,3,2,5,0,1,2,0
316,Bryant,America East,319,0,2,0,1,0,6,3,1,3,10,1,9,2,1,0,0,2,0
317,NIU,MAC,317,0,1,0,3,0,5,3,1,3,10,1,7,2,3,0,0,2,0
318,New Haven,NEC,318,0,3,0,0,0,5,3,1,3,9,2,7,1,2,0,0,3,0
319,Holy Cross,Patriot,314,0,1,0,1,1,2,3,6,4,10,1,7,2,3,1,0,2,0
320,Mount St. Mary's,MAAC,320,0,1,0,2,0,3,4,5,4,11,2,9,2,2,0,0,1,0
321,Lehigh,Patriot,327,0,1,0,1,0,5,3,4,3,11,0,7,2,3,1,1,2,0
322,IU Indy,Horizon,324,0,2,0,1,1,3,1,7,2,13,1,8,1,4,0,1,2,0
323,Kansas City,Summit League,321,0,4,0,1,0,4,1,3,1,12,1,9,0,3,0,0,3,0
324,Air Force,Mountain West,326,0,3,0,1,0,5,3,3,3,12,0,4,3,7,0,1,0,0
325,Bucknell,Patriot,322,0,3,0,1,0,5,4,3,4,12,2,6,2,3,0,3,0,0
326,UAlbany,America East,325,0,0,0,4,0,6,1,2,1,12,1,8,0,1,0,3,3,0
327,Little Rock,OVC,329,0,1,0,2,0,4,3,3,3,10,2,8,1,2,0,0,2,0
328,Central Mich.,MAC,330,0,3,0,1,0,2,2,6,2,12,0,8,1,3,1,1,2,0
329,UTSA,American,323,0,3,0,1,1,2,1,5,2,11,1,6,0,4,1,1,2,0
330,New Hampshire,America East,332,0,3,0,2,0,2,2,3,2,10,0,8,2,2,0,0,2,0
331,Canisius,MAAC,331,0,0,0,3,0,4,6,1,6,8,1,7,5,1,0,0,1,0
332,Florida A&M,SWAC,333,0,4,0,0,0,2,1,3,1,9,0,8,1,1,0,0,2,0
333,Cleveland St.,Horizon,336,0,1,0,2,0,3,2,5,2,11,0,7,1,3,1,1,3,0
334,Chicago St.,NEC,335,0,5,0,3,0,1,1,4,1,13,1,10,0,3,0,0,1,0
335,UMES,MEAC,334,0,6,0,0,0,1,3,6,3,13,1,12,1,1,1,0,2,0
336,Lafayette,Patriot,328,0,1,0,1,0,5,3,5,3,12,1,7,2,5,0,0,1,0
337,Louisiana,Sun Belt,337,0,3,0,0,0,4,3,6,3,13,1,8,2,5,0,0,0,0
338,Southern Ind.,OVC,338,0,1,0,0,1,2,0,8,1,11,1,6,0,3,0,2,2,0
339,North Florida,ASUN,339,0,4,0,1,0,6,0,2,0,13,0,9,0,2,0,2,2,0
340,VMI,SoCon,344,0,2,0,2,0,2,3,4,3,10,1,6,2,2,0,2,3,0
341,Stonehill,NEC,340,0,1,0,2,0,2,2,6,2,11,1,8,1,2,0,1,2,0
342,Ball St.,MAC,341,0,1,0,2,0,2,2,6,2,11,0,6,1,4,1,1,2,0
343,Stetson,ASUN,342,0,2,0,2,0,4,3,2,3,10,1,8,2,1,0,1,2,0
344,NJIT,America East,348,0,2,0,2,1,3,4,3,5,10,3,8,2,2,0,0,1,0
345,Southern Utah,WAC,343,0,2,0,1,0,5,1,3,1,11,0,9,0,2,1,0,3,0
346,Maine,America East,345,0,2,0,0,0,4,1,8,1,14,1,8,0,4,0,2,1,0
347,N.C. Central,MEAC,347,0,4,0,2,0,2,1,3,1,11,0,9,1,2,0,0,4,0
348,FDU,NEC,346,0,2,0,2,0,2,1,5,1,11,1,9,0,2,0,0,3,0
349,Loyola Maryland,Patriot,352,0,1,0,1,0,2,3,7,3,11,1,7,1,3,1,1,2,0
350,Texas Southern,SWAC,350,0,4,0,1,0,2,0,4,0,11,0,8,0,3,0,0,2,0
351,Western Ill.,OVC,351,0,1,0,1,0,4,1,5,1,11,1,8,0,3,0,0,3,0
352,Alcorn,SWAC,349,0,4,0,3,0,2,1,3,1,12,0,12,0,0,1,0,0,0
353,Niagara,MAAC,353,0,2,0,0,0,2,3,6,3,10,1,7,2,2,0,1,1,0
354,ULM,Sun Belt,354,0,2,0,3,0,0,1,8,1,13,0,7,1,5,0,1,2,0
355,Delaware St.,MEAC,355,0,1,0,1,0,3,2,5,2,10,1,8,1,2,0,0,3,1
356,Jackson St.,SWAC,356,0,6,0,1,0,1,2,4,2,12,1,9,1,1,0,2,0,0
357,Rider,MAAC,357,0,4,0,0,0,2,0,6,0,12,0,8,0,4,0,0,1,0
358,South Carolina St.,MEAC,359,0,3,0,1,0,4,1,6,1,14,0,12,1,2,0,0,1,0
359,Saint Francis,NEC,361,0,3,0,2,0,2,1,5,1,12,0,7,1,3,0,2,2,0
360,Gardner-Webb,Big South,358,0,2,0,5,0,4,0,4,0,15,0,10,0,3,0,2,2,1
361,The Citadel,SoCon,360,0,0,0,4,0,3,0,6,0,13,0,7,0,5,0,1,3,0
362,Morgan St.,MEAC,362,0,1,0,2,0,2,1,7,1,12,0,8,1,4,0,0,2,0
363,Binghamton,America East,363,0,0,0,2,0,1,1,9,1,12,0,7,1,4,0,1,3,0
364,Coppin St.,MEAC,364,0,2,0,2,0,6,2,5,2,15,2,11,0,1,0,3,1,0
365,Mississippi Val.,SWAC,365,0,4,0,4,0,2,0,5,0,15,0,10,0,3,0,2,1,0
