,Team,Link
69,BYU,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/byu.svg
70,Arizona,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona.svg
71,Iowa State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iowa-st.svg
72,Kansas,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas.svg
73,West Virginia,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/west-virginia.svg
74,Baylor,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg
75,TCU,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tcu.svg
76,Kansas State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas-st.svg
77,Utah,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utah.svg
78,Cincinnati,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cincinnati.svg
79,UCF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ucf.svg
80,Oklahoma State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma-st.svg
81,Arizona State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona-st.svg
82,Colorado,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado.svg
83,St. John's (NY),https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-johns-ny.svg
84,Creighton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/creighton.svg
85,UConn,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uconn.svg
86,Marquette,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/marquette.svg
87,Xavier,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/xavier.svg
88,Villanova,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/villanova.svg
89,Georgetown,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgetown.svg
90,Butler,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/butler.svg
91,Providence,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/providence.svg
92,DePaul,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/depaul.svg
93,Seton Hall,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/seton-hall.svg
94,Northern Colorado,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northern-colo.svg
95,Montana,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/montana.svg
96,Portland State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/portland-st.svg
97,Idaho State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/idaho-st.svg
98,Montana State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/montana-st.svg
99,Northern Arizona,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northern-ariz.svg
100,Idaho,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/idaho.svg
101,Eastern Washington,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-wash.svg
102,Weber State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/weber-st.svg
103,Sacramento State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/sacramento-st.svg
104,High Point,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/high-point.svg
105,Winthrop,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/winthrop.svg
106,UNC Asheville,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-asheville.svg
107,Radford,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/radford.svg
108,Longwood,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/longwood.svg
109,Presbyterian,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/presbyterian.svg
110,Charleston Southern,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/charleston-so.svg
111,Gardner-Webb,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/gardner-webb.svg
112,USC Upstate,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/usc-upstate.svg
113,Michigan State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan-st.svg
114,Maryland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/maryland.svg
115,Michigan,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan.svg
116,Wisconsin,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wisconsin.svg
117,UCLA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg
118,Purdue,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/purdue.svg
119,Oregon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon.svg
120,Illinois,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/illinois.svg
121,Indiana,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/indiana.svg
122,Ohio State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio-st.svg
123,Rutgers,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rutgers.svg
124,Nebraska,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nebraska.svg
125,Iowa,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iowa.svg
126,Northwestern,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northwestern.svg
127,USC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-california.svg
128,Minnesota,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/minnesota.svg
129,Penn State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/penn-st.svg
130,Washington,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/washington.svg
131,UC-San Diego,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-san-diego.svg
132,UC-Irvine,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-irvine.svg
133,Cal State Northridge,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-northridge.svg
134,UC-Riverside,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-riverside.svg
135,UCSB,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-santa-barbara.svg
136,UC-Davis,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-davis.svg
137,Cal Poly,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-poly.svg
138,Cal State Bakersfield,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bakersfield.svg
139,Hawaii,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hawaii.svg
140,Long Beach State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/long-beach-st.svg
141,Cal State Fullerton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-fullerton.svg
142,Towson,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/towson.svg
143,UNC Wilmington,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-wilmington.svg
144,College of Charleston,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/col-of-charleston.svg
145,William & Mary,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/william-mary.svg
146,Campbell,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/campbell.svg
147,Monmouth,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/monmouth.svg
148,Drexel,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/drexel.svg
149,Northeastern,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northeastern.svg
