net_rank,school,conference,Prev,quad1_w,quad1_l,quad2_w,quad2_l,quad3_w,quad3_l,quad4_w,quad4_l,w,l,road_w,road_l,home_w,home_l,neutral_w,neutral_l,non_div1_w,non_div1_l,w_pct,ap_rank,conference_wins,conference_losses,conf_win_pct,conf_rank,sos_rank,sos,top50_opp_count,conf_tournament_champ,bid_type,seed_score,s_curve,seed,first_four
36,Clemson,ACC,35,5,5,6,4,4,0,7,0,22,9,6,5,13,3,3,1,0,0,0.7096774193548387,NR,11,6,0.647,5,,,,False,at-large,2.8967741935483917,31,8,False
53,Miami (OH),MAC,53,0,0,2,0,11,0,15,0,28,0,14,0,13,0,1,0,3,0,1.0,19.0,18,0,1.000,1,,,,False,auto,-4.919999999999995,32,8,False
25,Iowa,Big Ten,26,4,8,5,1,5,1,6,0,20,10,3,7,14,3,3,0,0,0,0.6666666666666666,NR,10,9,0.526,9,,,,False,at-large,-6.833333333333334,33,9,False
35,NC State,ACC,33,5,7,6,4,4,0,4,1,19,12,6,4,11,6,2,2,0,0,0.6129032258064516,NR,10,7,0.588,7,,,,False,at-large,-13.270967741935483,34,9,False
28,Kentucky,SEC,27,6,10,4,2,3,0,6,0,19,12,4,6,14,4,1,2,0,0,0.6129032258064516,NR,10,7,0.588,8,21.0,0.8703762965981771,18.0,False,at-large,-13.970967741935485,35,9,False
34,UCLA,Big Ten,36,4,8,6,2,4,0,7,0,21,10,4,6,17,1,0,3,0,0,0.6774193548387096,NR,12,7,0.632,7,,,,False,at-large,-14.525806451612901,36,9,False
43,Texas A&M,SEC,43,6,6,4,4,3,0,8,0,21,10,6,5,14,4,1,1,0,0,0.6774193548387096,NR,10,7,0.588,7,,,,False,at-large,-14.525806451612908,37,10,False
40,TCU,Big 12,42,5,7,6,1,3,1,7,1,21,10,5,5,14,5,2,0,0,0,0.6774193548387096,NR,10,7,0.588,6,,,,False,at-large,-15.625806451612902,38,10,False
42,Santa Clara,WCC,41,1,5,6,1,9,0,7,1,23,7,8,3,13,1,2,3,1,0,0.7666666666666667,NR,15,3,0.833,3,,,,False,at-large,-17.299999999999997,39,11,False
30,Ohio State,Big Ten,32,3,10,6,1,5,0,6,0,20,11,5,6,14,3,1,2,0,0,0.6451612903225806,NR,11,8,0.579,8,,,,False,at-large,-20.24838709677419,40,11,True
44,VCU,Atlantic 10,44,2,5,3,2,10,0,9,0,24,7,7,3,15,2,2,2,0,0,0.7741935483870968,NR,15,3,0.833,2,,,,False,at-large,-21.299999999999997,41,11,True
50,South Florida,American,49,2,2,5,3,7,3,7,0,21,8,9,3,11,2,1,3,1,0,0.7241379310344828,NR,14,3,0.824,1,,,,False,auto,-23.05862068965518,42,11,False
45,New Mexico,Mountain West,47,2,6,6,1,4,2,9,0,21,9,7,5,13,3,1,1,1,0,0.7,NR,13,6,0.684,3,,,,False,at-large,-29.900000000000002,43,11,True
38,SMU,ACC,38,4,8,4,4,5,0,6,0,19,12,3,8,15,3,1,1,0,0,0.6129032258064516,NR,8,9,0.471,10,,,,False,at-large,-32.57096774193549,44,11,True
41,Texas,SEC,39,6,9,2,3,2,1,7,0,17,13,4,6,12,5,1,2,1,0,0.5666666666666667,NR,9,8,0.529,10,,,,False,at-large,-40.53333333333333,45,12,False
64,Yale,Ivy League,67,0,1,2,0,10,3,9,1,21,5,9,3,8,2,4,0,2,0,0.8076923076923077,NR,10,3,0.769,1,,,,False,auto,-50.3,46,10,False
37,Indiana,Big Ten,37,3,11,3,2,5,0,7,0,18,13,3,8,14,4,1,1,0,0,0.5806451612903226,NR,9,10,0.474,10,,,,False,at-large,-50.593548387096774,47,12,False
39,Auburn,SEC,40,4,12,4,2,2,1,6,0,16,15,2,8,11,4,3,3,0,0,0.5161290322580645,NR,7,10,0.412,11,8.0,0.8911858383264873,17.0,False,at-large,-56.33870967741936,48,12,False
79,High Point,Big South,77,0,0,0,2,4,2,22,0,26,4,7,2,14,1,5,1,3,0,0.8666666666666667,NR,16,1,0.941,1,,,,False,auto,-73.8,49,10,False
86,Stephen F. Austin,Southland,86,0,1,2,0,4,2,19,1,25,4,12,3,13,1,0,0,2,0,0.8620689655172413,NR,20,2,0.909,1,,,,False,auto,-77.30000000000001,50,12,False
90,UNC Wilmington,CAA,90,0,0,0,1,8,3,16,1,24,5,11,2,13,3,0,0,2,0,0.8275862068965517,NR,15,3,0.833,1,,,,False,auto,-87.2,51,13,False
77,Northern Iowa,MVC,78,0,3,4,4,6,5,11,0,21,12,6,6,11,5,4,1,1,0,0.6363636363636364,NR,13,9,0.591,4,,,,True,auto,-87.83636363636363,52,13,False
100,Liberty,CUSA,103,1,1,1,0,9,4,11,1,22,6,10,2,11,2,1,2,3,0,0.7857142857142857,NR,16,3,0.842,1,,,,False,auto,-95.30000000000001,53,13,False
84,Utah Valley,WAC,85,0,2,0,1,9,2,12,2,21,7,6,7,12,0,3,0,3,0,0.75,NR,13,4,0.765,1,,,,False,auto,-95.8,54,13,False
115,North Dakota State,Summit League,118,0,0,0,1,5,4,18,2,23,7,10,5,10,1,3,1,3,0,0.7666666666666667,NR,15,2,0.882,1,,,,False,auto,-128.8,55,14,False
113,Hawaii,Big West,102,0,0,0,4,6,2,14,2,20,8,6,5,14,3,0,0,2,0,0.7142857142857143,NR,14,5,0.737,1,,,,False,auto,-135.15714285714284,56,14,False
126,Navy,Patriot,129,0,1,0,3,1,0,23,2,24,6,10,4,13,1,1,1,2,0,0.8,NR,18,1,0.947,1,,,,False,auto,-144.7,57,14,False
138,Troy,Sun Belt,141,1,0,2,1,4,7,11,3,18,11,9,7,8,3,1,1,2,0,0.6206896551724138,NR,12,6,0.667,1,,,,False,auto,-165.09310344827585,58,14,False
134,Wright State,Horizon,135,0,1,0,3,4,5,15,2,19,11,9,5,9,5,1,1,2,0,0.6333333333333333,NR,16,5,0.762,1,,,,False,auto,-171.06666666666666,59,15,False
129,ETSU,SoCon,126,0,2,0,0,2,3,18,5,20,10,8,6,11,4,1,0,2,0,0.6666666666666666,NR,13,5,0.722,1,,,,False,auto,-174.03333333333333,60,15,False
139,Portland State,Big Sky,139,0,2,0,2,7,3,9,3,16,10,8,7,8,3,0,0,3,0,0.6153846153846154,NR,13,5,0.722,1,,,,False,auto,-178.3461538461538,61,15,False
170,Tennessee State,OVC,183,0,2,1,0,3,1,16,6,20,9,10,7,8,2,2,0,3,0,0.6896551724137931,NR,16,5,0.762,1,,,,True,auto,-214.20344827586206,62,15,False
179,Merrimack,MAAC,177,0,2,0,1,3,4,19,3,22,10,9,8,11,0,2,2,0,0,0.6875,NR,18,3,0.857,1,,,,False,auto,-225.02499999999998,63,16,False
199,LIU,NEC,196,0,2,0,2,1,3,22,3,23,10,10,9,13,1,0,0,0,0,0.696969696969697,NR,16,3,0.842,1,,,,True,auto,-250.13030303030303,64,16,False
206,UMBC,America East,206,0,2,0,2,0,1,20,3,20,8,9,6,11,2,0,0,2,0,0.7142857142857143,NR,14,2,0.875,1,,,,False,auto,-256.5571428571428,65,16,True
201,Howard,MEAC,200,0,2,1,2,1,0,15,6,17,10,7,6,7,4,3,0,4,0,0.6296296296296297,NR,11,3,0.786,1,,,,False,auto,-261.0037037037037,66,16,True
191,Queens (NC),ASUN,197,0,5,0,0,1,4,18,4,19,13,6,10,11,2,2,1,1,0,0.59375,NR,14,5,0.737,3,,,,True,auto,-264.2625,67,16,True
255,Bethune-Cookman,SWAC,256,0,7,0,1,1,0,15,6,16,14,7,11,9,1,0,2,1,0,0.5333333333333333,NR,14,4,0.778,1,,,,False,auto,-352.8666666666667,68,16,True
